"category","cause","var","value","multiplier"
"age","Cardiovascular Diseases","sex","Male",0.955
"age","Cardiovascular Diseases","sex","Female",1.045
"age","Cardiovascular Diseases","race","White",1
"age","Cardiovascular Diseases","race","Black",0.93
"age","Cardiovascular Diseases","race","Asian",1.1
"age","Cardiovascular Diseases","race","Native American",0.85
"age","Cardiovascular Diseases","race","Other",1
"age","Cardiovascular Diseases","wbr","East Asia & Pacific",1.035
"age","Cardiovascular Diseases","wbr","Europe & Central Asia",1.065
"age","Cardiovascular Diseases","wbr","Latin America & Caribbean",1.022
"age","Cardiovascular Diseases","wbr","Middle East & North Africa",1.007
"age","Cardiovascular Diseases","wbr","North America",1.078
"age","Cardiovascular Diseases","wbr","South Asia",0.96
"age","Cardiovascular Diseases","wbr","Sub-Saharan Africa",0.834
"age","Cardiovascular Diseases","inc","Poor",0.975
"age","Cardiovascular Diseases","inc","Lower-middle",1
"age","Cardiovascular Diseases","inc","Middle",1
"age","Cardiovascular Diseases","inc","Upper-middle",1
"age","Cardiovascular Diseases","inc","Rich",1
"age","Cardiovascular Diseases","edu","No Formal Schooling",0.964
"age","Cardiovascular Diseases","edu","Primary Education (Elementary School)",0.982
"age","Cardiovascular Diseases","edu","Secondary Education (High School)",1
"age","Cardiovascular Diseases","edu","Tertiary Education (Bachelor's degree, Professional, Occupational, Technical or Vocational program",1.018
"age","Cardiovascular Diseases","edu","Master's degree",1.036
"age","Cardiovascular Diseases","edu","Doctoral degree",1.054
"age","Cardiovascular Diseases","hsd","0",0.65
"age","Cardiovascular Diseases","hsd","1",0.7
"age","Cardiovascular Diseases","hsd","2",0.75
"age","Cardiovascular Diseases","hsd","3",0.8
"age","Cardiovascular Diseases","hsd","4",0.85
"age","Cardiovascular Diseases","hsd","5",0.9
"age","Cardiovascular Diseases","hsd","6",0.95
"age","Cardiovascular Diseases","hsd","7",1
"age","Cardiovascular Diseases","hsd","8",0.98
"age","Cardiovascular Diseases","hsd","9",0.85
"age","Cardiovascular Diseases","hsd","10",0.8
"age","Cardiovascular Diseases","hsd","11",0.75
"age","Cardiovascular Diseases","hsd","12",0.7
"age","Cardiovascular Diseases","hsd","13",0.65
"age","Cardiovascular Diseases","hsd","14",0.6
"age","Cardiovascular Diseases","hsd","15",0.55
"age","Cardiovascular Diseases","hsd","16",0.5
"age","Cardiovascular Diseases","hsd","17",0.5
"age","Cardiovascular Diseases","hsd","18",0.5
"age","Cardiovascular Diseases","hsd","19",0.5
"age","Cardiovascular Diseases","hsd","20",0.5
"age","Cardiovascular Diseases","hsd","21",0.5
"age","Cardiovascular Diseases","hsd","22",0.5
"age","Cardiovascular Diseases","hsd","23",0.5
"age","Cardiovascular Diseases","hsd","24",0.5
"age","Cardiovascular Diseases","sys","Normal (SBP <120 mmHG)",1
"age","Cardiovascular Diseases","sys","Elevated (SBP 120-129 mmHG)",0.984
"age","Cardiovascular Diseases","sys","High Blood Pressure Stage 1 (SBP 130-140 mmHG)",0.967
"age","Cardiovascular Diseases","sys","High Blood Pressure Stage 2 (SBP >140 mmHG)",0.934
"age","Cardiovascular Diseases","bmi","Underweight (<18.5)",0.942
"age","Cardiovascular Diseases","bmi","Normal Weight (18.5-24.9)",1
"age","Cardiovascular Diseases","bmi","Overweight (25-29.9)",0.975
"age","Cardiovascular Diseases","bmi","Obese (>30)",0.949
"age","Cardiovascular Diseases","hbp","Yes",1
"age","Cardiovascular Diseases","hbp","No",1
"age","Cardiovascular Diseases","hbc","Yes",1
"age","Cardiovascular Diseases","hbc","No",1
"age","Cardiovascular Diseases","cvd","Yes",1
"age","Cardiovascular Diseases","cvd","No",1
"age","Cardiovascular Diseases","copd","Yes",1
"age","Cardiovascular Diseases","copd","No",1
"age","Cardiovascular Diseases","dia","Yes",1
"age","Cardiovascular Diseases","dia","No",1
"age","Cardiovascular Diseases","dep","Yes",1
"age","Cardiovascular Diseases","dep","No",1
"age","Cardiovascular Diseases","can","Yes",1
"age","Cardiovascular Diseases","can","No",1
"age","Cardiovascular Diseases","alz","Yes",1
"age","Cardiovascular Diseases","alz","No",1
"age","Cardiovascular Diseases","fcvd","Yes",1
"age","Cardiovascular Diseases","fcvd","No",1
"age","Cardiovascular Diseases","fcopd","Yes",1
"age","Cardiovascular Diseases","fcopd","No",1
"age","Cardiovascular Diseases","fdia","Yes",1
"age","Cardiovascular Diseases","fdia","No",1
"age","Cardiovascular Diseases","fdep","Yes",1
"age","Cardiovascular Diseases","fdep","No",1
"age","Cardiovascular Diseases","fcan","Yes",1
"age","Cardiovascular Diseases","fcan","No",1
"age","Cardiovascular Diseases","falz","Yes",1
"age","Cardiovascular Diseases","falz","No",1
"age","Coronary Heart Diseases","sex","Male",0.974
"age","Coronary Heart Diseases","sex","Female",1.026
"age","Coronary Heart Diseases","race","White",1
"age","Coronary Heart Diseases","race","Black",0.93
"age","Coronary Heart Diseases","race","Asian",1.1
"age","Coronary Heart Diseases","race","Native American",0.85
"age","Coronary Heart Diseases","race","Other",1
"age","Coronary Heart Diseases","wbr","East Asia & Pacific",1.035
"age","Coronary Heart Diseases","wbr","Europe & Central Asia",1.065
"age","Coronary Heart Diseases","wbr","Latin America & Caribbean",1.022
"age","Coronary Heart Diseases","wbr","Middle East & North Africa",1.007
"age","Coronary Heart Diseases","wbr","North America",1.078
"age","Coronary Heart Diseases","wbr","South Asia",0.96
"age","Coronary Heart Diseases","wbr","Sub-Saharan Africa",0.834
"age","Coronary Heart Diseases","inc","Poor",0.975
"age","Coronary Heart Diseases","inc","Lower-middle",1
"age","Coronary Heart Diseases","inc","Middle",1
"age","Coronary Heart Diseases","inc","Upper-middle",1
"age","Coronary Heart Diseases","inc","Rich",1
"age","Coronary Heart Diseases","edu","No Formal Schooling",0.964
"age","Coronary Heart Diseases","edu","Primary Education (Elementary School)",0.982
"age","Coronary Heart Diseases","edu","Secondary Education (High School)",1
"age","Coronary Heart Diseases","edu","Tertiary Education (Bachelor's degree, Professional, Occupational, Technical or Vocational program",1.018
"age","Coronary Heart Diseases","edu","Master's degree",1.036
"age","Coronary Heart Diseases","edu","Doctoral degree",1.054
"age","Coronary Heart Diseases","hsd","0",0.65
"age","Coronary Heart Diseases","hsd","1",0.83
"age","Coronary Heart Diseases","hsd","2",0.86
"age","Coronary Heart Diseases","hsd","3",0.89
"age","Coronary Heart Diseases","hsd","4",0.92
"age","Coronary Heart Diseases","hsd","5",0.95
"age","Coronary Heart Diseases","hsd","6",0.98
"age","Coronary Heart Diseases","hsd","7",1
"age","Coronary Heart Diseases","hsd","8",0.98
"age","Coronary Heart Diseases","hsd","9",0.95
"age","Coronary Heart Diseases","hsd","10",0.92
"age","Coronary Heart Diseases","hsd","11",0.89
"age","Coronary Heart Diseases","hsd","12",0.86
"age","Coronary Heart Diseases","hsd","13",0.83
"age","Coronary Heart Diseases","hsd","14",0.8
"age","Coronary Heart Diseases","hsd","15",0.77
"age","Coronary Heart Diseases","hsd","16",0.74
"age","Coronary Heart Diseases","hsd","17",0.74
"age","Coronary Heart Diseases","hsd","18",0.74
"age","Coronary Heart Diseases","hsd","19",0.74
"age","Coronary Heart Diseases","hsd","20",0.74
"age","Coronary Heart Diseases","hsd","21",0.74
"age","Coronary Heart Diseases","hsd","22",0.74
"age","Coronary Heart Diseases","hsd","23",0.74
"age","Coronary Heart Diseases","hsd","24",0.74
